"filename", "language", "JSON", "PostCSS", "PHP", "Markdown", "XML", "Properties", "Batch", "JavaScript", "Shell Script", "Diff", "YAML", "Ignore", "HTML", "reStructuredText", "comment", "blank", "total"
"c:\Users\alter\gw2-guild-login\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"c:\Users\alter\gw2-guild-login\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\alter\gw2-guild-login\.github\workflows\ci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 11, 48
"c:\Users\alter\gw2-guild-login\.phpstorm.meta.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 40
"c:\Users\alter\gw2-guild-login\CHANGELOG.md", "Markdown", 0, 0, 0, 314, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 364
"c:\Users\alter\gw2-guild-login\CONTRIBUTING.md", "Markdown", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 78
"c:\Users\alter\gw2-guild-login\README.md", "Markdown", 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 235
"c:\Users\alter\gw2-guild-login\SECURITY.md", "Markdown", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 139
"c:\Users\alter\gw2-guild-login\admin\css\gw2-guild-login-admin.css", "PostCSS", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 103
"c:\Users\alter\gw2-guild-login\admin\views\appearance-branding.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 26
"c:\Users\alter\gw2-guild-login\admin\views\dashboard.php", "PHP", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 122
"c:\Users\alter\gw2-guild-login\admin\views\guild-roster.php", "PHP", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 108
"c:\Users\alter\gw2-guild-login\admin\views\rank-access.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 17
"c:\Users\alter\gw2-guild-login\admin\views\reports.php", "PHP", 0, 0, 779, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 99, 943
"c:\Users\alter\gw2-guild-login\admin\views\settings.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 25
"c:\Users\alter\gw2-guild-login\admin\views\tools.php", "PHP", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 124
"c:\Users\alter\gw2-guild-login\admin\views\user-management.php", "PHP", 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 170
"c:\Users\alter\gw2-guild-login\assets\css\admin.css", "PostCSS", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17, 107
"c:\Users\alter\gw2-guild-login\assets\css\guild-ranks.css", "PostCSS", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 75
"c:\Users\alter\gw2-guild-login\assets\css\gw2-2fa-admin.css", "PostCSS", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 83
"c:\Users\alter\gw2-guild-login\assets\css\gw2-2fa-login.css", "PostCSS", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 14, 91
"c:\Users\alter\gw2-guild-login\assets\css\gw2-dashboard.css", "PostCSS", 0, 306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 44, 367
"c:\Users\alter\gw2-guild-login\assets\css\gw2-login.css", "PostCSS", 0, 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 28, 266
"c:\Users\alter\gw2-guild-login\assets\js\gw2-2fa-admin.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 9, 14, 99
"c:\Users\alter\gw2-guild-login\assets\js\gw2-2fa-login.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 23, 24, 141
"c:\Users\alter\gw2-guild-login\assets\js\gw2-dashboard.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 15, 22, 166
"c:\Users\alter\gw2-guild-login\assets\js\gw2-login.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 46, 30, 201
"c:\Users\alter\gw2-guild-login\composer.json", "JSON", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"c:\Users\alter\gw2-guild-login\docs\PHPSTAN_GUIDE.md", "Markdown", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 157
"c:\Users\alter\gw2-guild-login\docs\TWO_FACTOR_AUTH.md", "Markdown", 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 274
"c:\Users\alter\gw2-guild-login\docs\USAGE.md", "Markdown", 0, 0, 0, 671, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 160, 832
"c:\Users\alter\gw2-guild-login\gw2-guild-login.php", "PHP", 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 56, 359
